trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.75, 'e': 0.5099175975748701}",20,0,-15.16439415262392,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.75, 'e': 0.5055335697126491}",25,0,-84.10020866487574,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
79,False,"{'a': 0.75, 'e': 0.5011872336272722}",25,0,4.617939895843093,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
80,False,"{'a': 0.75, 'e': 0.49687826526285167}",20,0,-86.66026733635182,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
81,False,"{'a': 0.75, 'e': 0.4926063433495772}",25,0,-7.9466525185523835,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
82,False,"{'a': 0.75, 'e': 0.4883711493797627}",25,4,-37.787758214596074,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 0}",1
83,False,"{'a': 0.75, 'e': 0.4841723675840993}",25,16,-14.716898150536721,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.75, 'e': 0.4800096849081115}",35,14,27.0426884465811,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.75, 'e': 0.47588279098881686}",20,7,-0.30393391827523253,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.75, 'e': 0.4717913781315852}",20,16,8.37209205830062,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.75, 'e': 0.4677351412871982}",25,0,-40.23331123521421,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.75, 'e': 0.4637137780291045}",20,0,-63.522680091197756,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
89,False,"{'a': 0.75, 'e': 0.4597269885308721}",30,0,-111.61035513990232,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
90,False,"{'a': 0.75, 'e': 0.4557744755438333}",20,8,-19.620768859088734,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.75, 'e': 0.4518559443749223}",30,4,-64.3425394079893,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 2}",1
92,False,"{'a': 0.75, 'e': 0.4479711028647036}",25,0,-49.15357918499011,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
93,False,"{'a': 0.75, 'e': 0.4441196613655889}",30,0,-34.14537624687977,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
94,False,"{'a': 0.75, 'e': 0.4403013327202414}",20,8,-5.685392669242737,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.75, 'e': 0.43651583224016594}",20,0,-39.97573771149259,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
96,False,"{'a': 0.75, 'e': 0.432762877684483}",30,7,2.258505406297492,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.75, 'e': 0.42904218923888543}",25,15,-21.86132600485306,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.75, 'e': 0.42535348949477547}",20,0,-14.361251516444685,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
99,False,"{'a': 0.75, 'e': 0.4216965034285822}",25,0,-101.06400970192486,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
100,False,"{'a': 0.75, 'e': 0.41807095838125596}",20,0,-62.10346388648916,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
101,False,"{'a': 0.75, 'e': 0.41447658403793913}",35,8,-68.35530527109547,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 1}",1
102,False,"{'a': 0.75, 'e': 0.4109131124078122}",35,0,-150.76620802425236,"{0: 24, 1: 4, 2: 4, 3: 0, 4: 3}",0
103,False,"{'a': 0.75, 'e': 0.40738027780411273}",35,8,3.6665288928122552,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.75, 'e': 0.403877816824326}",25,15,-10.548134524633731,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.75, 'e': 0.4004054683305463}",30,13,-56.34232072222228,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
106,False,"{'a': 0.75, 'e': 0.39696297343000697}",20,0,4.453574806188875,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.75, 'e': 0.39355007545577747}",25,0,-55.05875405847926,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 0.75, 'e': 0.39016651994762697}",25,0,-16.768638017094773,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
109,False,"{'a': 0.75, 'e': 0.3868120546330521}",20,1,1.432848137506735,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.75, 'e': 0.38348642940846817}",20,0,-46.76586842336177,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.75, 'e': 0.38018939632056115}",30,10,-19.959899048664937,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
112,False,"{'a': 0.75, 'e': 0.37692070954780155}",30,0,-66.98595023182203,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
113,False,"{'a': 0.75, 'e': 0.37368012538211576}",20,0,13.509626854651563,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.75, 'e': 0.37046740221071567}",20,6,8.188516528708812,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.75, 'e': 0.36728230049808464}",20,0,-34.336509287570365,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.75, 'e': 0.3641245827681179}",25,7,-0.05313262807728969,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.75, 'e': 0.3609940135864166}",25,5,-23.881252932535944,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
118,False,"{'a': 0.75, 'e': 0.35789035954273457}",25,0,-17.49345325035905,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.75, 'e': 0.3548133892335754}",20,8,-47.15215851828198,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.75, 'e': 0.35176287324493927}",20,3,-31.777032836502592,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.75, 'e': 0.34873858413521835}",20,0,-22.10309817286186,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
122,False,"{'a': 0.75, 'e': 0.3457402964182391}",25,0,-36.13734685619549,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
123,False,"{'a': 0.75, 'e': 0.34276778654645035}",20,4,15.141792562096793,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.75, 'e': 0.33982083289425585}",20,8,21.937739420774008,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.75, 'e': 0.3368992157414907}",25,13,11.563250548570158,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.75, 'e': 0.3340027172570385}",20,0,-59.16869305066349,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
127,False,"{'a': 0.75, 'e': 0.33113112148259105}",20,0,-3.826517499659114,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
128,False,"{'a': 0.75, 'e': 0.3282842143165464}",20,0,-38.14950834396655,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.75, 'e': 0.3254617834980459}",25,0,-7.1577618720744365,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
130,False,"{'a': 0.75, 'e': 0.32266361859114817}",25,0,-24.977224745787073,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
131,False,"{'a': 0.75, 'e': 0.31988951096913976}",20,14,12.529050967515165,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.75, 'e': 0.31713925379897995}",20,0,-40.93724222760813,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
133,False,"{'a': 0.75, 'e': 0.31441264202587954}",25,17,-0.04442172388700749,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
