trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.75, 'e': 0.6452445769392419}",25,0,-105.32958219398878,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
118,False,"{'a': 0.75, 'e': 0.642832870270273}",25,0,-20.025702450019686,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
119,False,"{'a': 0.75, 'e': 0.6404301777476682}",20,1,-67.88261184962022,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
120,False,"{'a': 0.75, 'e': 0.6380364656795877}",20,0,-57.241560183430735,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
121,False,"{'a': 0.75, 'e': 0.6356517005001204}",25,0,-104.75444409908096,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
122,False,"{'a': 0.75, 'e': 0.6332758487688135}",20,0,-8.274742889423043,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.75, 'e': 0.6309088771702029}",25,0,-13.33938538600994,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.75, 'e': 0.6285507525133469}",30,0,-92.9481172638304,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
125,False,"{'a': 0.75, 'e': 0.6262014417313602}",20,6,-140.91748344095157,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 3}",1
126,False,"{'a': 0.75, 'e': 0.6238609118809502}",25,2,7.0394292520296755,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.75, 'e': 0.6215291301419554}",20,0,-70.44286817192203,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
128,False,"{'a': 0.75, 'e': 0.6192060638168851}",20,5,-137.618976470307,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 2}",1
129,False,"{'a': 0.75, 'e': 0.6168916803304607}",20,0,-59.445920320053595,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
130,False,"{'a': 0.75, 'e': 0.6145859472291588}",25,0,-99.59873687720071,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
131,False,"{'a': 0.75, 'e': 0.6122888321807566}",20,0,-96.91402754207212,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
132,False,"{'a': 0.75, 'e': 0.610000302973878}",25,8,-4.038642796706905,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
133,False,"{'a': 0.75, 'e': 0.6077203275175423}",25,0,-8.649429507977983,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.75, 'e': 0.6054488738407143}",25,18,11.373637599035801,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.75, 'e': 0.6031859100918554}",25,0,-121.74770254416462,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
136,False,"{'a': 0.75, 'e': 0.6009314045384774}",30,0,-248.9595840105925,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
137,False,"{'a': 0.75, 'e': 0.5986853255666974}",25,0,-30.153126680619323,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
138,False,"{'a': 0.75, 'e': 0.5964476416807948}",20,0,-45.60785996149841,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.75, 'e': 0.5942183215027691}",20,10,-4.664358354765492,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.75, 'e': 0.5919973337719002}",30,18,-29.837302516621847,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 0}",1
141,False,"{'a': 0.75, 'e': 0.5897846473443102}",25,0,-50.98785630501432,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
142,False,"{'a': 0.75, 'e': 0.5875802311925266}",25,20,10.944312626383905,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.75, 'e': 0.5853840544050466}",20,14,-1.6935699522837442,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.75, 'e': 0.5831960861859048}",20,2,-62.81593213690577,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
145,False,"{'a': 0.75, 'e': 0.5810162958542403}",30,20,-4.967650764735252,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.75, 'e': 0.5788446528438672}",20,0,2.595821568102645,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.75, 'e': 0.5766811267028455}",20,12,-3.0812028343917683,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.75, 'e': 0.5745256870930545}",25,0,-129.3593623383455,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
149,False,"{'a': 0.75, 'e': 0.5723783037897668}",25,0,-130.5403791565196,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
150,False,"{'a': 0.75, 'e': 0.5702389466812253}",25,6,2.6394505262630155,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.75, 'e': 0.5681075857682201}",30,0,-94.50394485797591,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
152,False,"{'a': 0.75, 'e': 0.5659841911636684}",20,0,-2.149746483764484,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.75, 'e': 0.5638687330921953}",25,16,-39.40679747189954,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.75, 'e': 0.5617611818897161}",25,0,-98.74287663846418,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
155,False,"{'a': 0.75, 'e': 0.5596615080030206}",25,0,-49.27875352096043,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.75, 'e': 0.5575696819893583}",20,0,-1.3179952244900726,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
157,False,"{'a': 0.75, 'e': 0.5554856745160259}",20,0,20.25302937450613,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.75, 'e': 0.553409456359956}",25,0,-29.493187973644083,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
159,False,"{'a': 0.75, 'e': 0.5513409984073068}",25,0,-93.49715110147483,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
160,False,"{'a': 0.75, 'e': 0.5492802716530546}",20,2,-26.247141828852207,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.75, 'e': 0.5472272472005865}",20,3,-70.91965140523179,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
162,False,"{'a': 0.75, 'e': 0.5451818962612954}",20,10,6.186698624250538,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.75, 'e': 0.5431441901541765}",20,3,-71.67564763410233,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
164,False,"{'a': 0.75, 'e': 0.5411141003054246}",20,3,-43.86719181968556,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
165,False,"{'a': 0.75, 'e': 0.5390915982480341}",25,0,-47.68259515062286,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
166,False,"{'a': 0.75, 'e': 0.5370766556213993}",20,0,-30.47427106977649,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.75, 'e': 0.5350692441709167}",20,14,8.968795126693891,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.75, 'e': 0.5330693357475893}",20,0,-28.615922054992378,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
169,False,"{'a': 0.75, 'e': 0.5310769023076314}",25,0,-87.56855621963226,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
170,False,"{'a': 0.75, 'e': 0.5290919159120755}",20,0,-43.401335203551,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
171,False,"{'a': 0.75, 'e': 0.5271143487263805}",30,12,-61.4249346020923,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
