trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.75, 'e': 0.9928372105604681}",25,0,-154.97512179958224,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
63,False,"{'a': 0.75, 'e': 0.992608298504306}",20,0,-149.71606654230268,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
64,False,"{'a': 0.75, 'e': 0.9923757994760786}",25,0,-143.77552248841624,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
65,False,"{'a': 0.75, 'e': 0.9921397143159637}",30,0,-71.14253213827293,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.75, 'e': 0.9919000438770984}",20,0,-11.976703575380098,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
67,False,"{'a': 0.75, 'e': 0.9916567890255756}",25,0,-83.57403090216451,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
68,False,"{'a': 0.75, 'e': 0.9914099506404416}",25,0,-66.38193761412808,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.75, 'e': 0.9911595296136918}",25,0,-172.74734341804324,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
70,False,"{'a': 0.75, 'e': 0.9909055268502687}",20,0,-108.04734550873597,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
71,False,"{'a': 0.75, 'e': 0.9906479432680578}",25,0,-76.62060440810993,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 0}",0
72,False,"{'a': 0.75, 'e': 0.9903867797978847}",30,0,-135.5113423992831,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
73,False,"{'a': 0.75, 'e': 0.9901220373835112}",20,0,-70.93861260875498,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
74,False,"{'a': 0.75, 'e': 0.9898537169816329}",25,0,-98.21821196378929,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
75,False,"{'a': 0.75, 'e': 0.9895818195618746}",35,0,-270.7348822841042,"{0: 19, 1: 5, 2: 4, 3: 3, 4: 4}",0
76,False,"{'a': 0.75, 'e': 0.9893063461067875}",30,0,-76.90598872683145,"{0: 17, 1: 9, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.75, 'e': 0.9890272976118454}",25,0,-79.27028378649878,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.75, 'e': 0.9887446750854412}",20,0,-129.1186642038858,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
79,False,"{'a': 0.75, 'e': 0.9884584795488831}",25,0,-117.98355017619087,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
80,False,"{'a': 0.75, 'e': 0.9881687120363915}",35,0,-177.49948540849218,"{0: 19, 1: 6, 2: 7, 3: 1, 4: 2}",0
81,False,"{'a': 0.75, 'e': 0.987875373595094}",20,0,-87.80789922097787,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.75, 'e': 0.987578465285023}",25,0,-83.27356189900425,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
83,False,"{'a': 0.75, 'e': 0.9872779881791113}",25,0,-127.34295591415355,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
84,False,"{'a': 0.75, 'e': 0.9869739433631878}",20,0,-70.84551296177052,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
85,False,"{'a': 0.75, 'e': 0.9866663319359742}",20,0,-129.73098017015985,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
86,False,"{'a': 0.75, 'e': 0.9863551550090809}",20,0,-150.48848213029652,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
87,False,"{'a': 0.75, 'e': 0.9860404137070027}",25,0,-163.36844546047385,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
88,False,"{'a': 0.75, 'e': 0.9857221091671149}",30,0,-119.74276400941459,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
89,False,"{'a': 0.75, 'e': 0.9854002425396694}",25,0,-53.52042240784165,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.75, 'e': 0.9850748149877904}",30,0,-94.81553329927397,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
