trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
205,False,"{'a': 0.75, 'e': 0.3593200224539693}",25,0,-50.58586602504221,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
206,False,"{'a': 0.75, 'e': 0.35753044942670714}",35,1,-96.4042180760307,"{0: 26, 1: 1, 2: 5, 3: 0, 4: 2}",1
207,False,"{'a': 0.75, 'e': 0.35574978926658224}",30,14,12.723805139297756,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.75, 'e': 0.3539779975835645}",25,13,8.511925828899539,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.75, 'e': 0.35221503020870587}",20,4,9.404033046157426,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.75, 'e': 0.3504608431930391}",25,15,15.42676682085172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.75, 'e': 0.34871539280648245}",25,17,-6.065828044836451,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
212,False,"{'a': 0.75, 'e': 0.3469786355367493}",25,0,6.497020272460623,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
213,False,"{'a': 0.75, 'e': 0.34525052808826345}",25,17,-29.019478576403536,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
214,False,"{'a': 0.75, 'e': 0.34353102738108}",20,0,14.270776588672895,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
215,False,"{'a': 0.75, 'e': 0.34182009054981116}",20,1,-83.33933603942047,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
216,False,"{'a': 0.75, 'e': 0.3401176749425578}",20,2,-29.150477381921636,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
217,False,"{'a': 0.75, 'e': 0.3384237381198462}",20,0,-21.95020315230218,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
218,False,"{'a': 0.75, 'e': 0.33673823785357004}",25,0,-50.399305570288455,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
219,False,"{'a': 0.75, 'e': 0.3350611321259377}",25,0,-9.089128106182534,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
220,False,"{'a': 0.75, 'e': 0.3333923791284247}",20,7,23.57193958699728,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.75, 'e': 0.3317319372607316}",25,0,-50.931339009314,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
222,False,"{'a': 0.75, 'e': 0.3300797651297469}",20,3,3.1829572933628003,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
223,False,"{'a': 0.75, 'e': 0.3284358215485152}",20,0,19.854830337498946,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
224,False,"{'a': 0.75, 'e': 0.32680006553521035}",20,8,0.10255386634896002,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.75, 'e': 0.32517245631211383}",25,13,6.044467547042893,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.75, 'e': 0.3235529533045983}",25,12,-1.7010205834388414,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
227,False,"{'a': 0.75, 'e': 0.32194151614011607}",20,10,-29.691801960147703,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
228,False,"{'a': 0.75, 'e': 0.32033810464719253}",25,0,-67.13173685778285,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
229,False,"{'a': 0.75, 'e': 0.3187426788544249}",20,8,22.382752407438254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.75, 'e': 0.31715519898948574}",25,9,-0.13832757354885317,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.75, 'e': 0.31557562547813134}",30,14,-54.440581934989204,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
232,False,"{'a': 0.75, 'e': 0.3140039189432154}",30,8,-16.776892924207672,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
233,False,"{'a': 0.75, 'e': 0.31244004020370714}",25,6,-46.11437653674535,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
234,False,"{'a': 0.75, 'e': 0.31088395027371474}",30,0,-42.94326490008177,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
235,False,"{'a': 0.75, 'e': 0.3093356103615134}",25,2,-19.08958539536391,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
236,False,"{'a': 0.75, 'e': 0.30779498186857834}",20,0,-19.326428172459742,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
237,False,"{'a': 0.75, 'e': 0.30626202638862254}",20,8,-13.80925966426345,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
238,False,"{'a': 0.75, 'e': 0.30473670570663924}",25,3,11.778829573728665,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
239,False,"{'a': 0.75, 'e': 0.3032189817979495}",20,0,25.655734876332147,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
240,False,"{'a': 0.75, 'e': 0.301708816827254}",30,0,6.6622195860264295,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
241,False,"{'a': 0.75, 'e': 0.30020617314769}",30,13,21.164518570913266,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.75, 'e': 0.29871101329989297}",25,15,17.84372687776037,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.75, 'e': 0.29722330001106245}",20,0,-0.012899781463724502,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
244,False,"{'a': 0.75, 'e': 0.29574299619403316}",20,10,-1.6357147173563158,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
245,False,"{'a': 0.75, 'e': 0.29427006494635033}",25,5,28.41802403165024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.75, 'e': 0.29280446954934974}",20,14,8.950364773254137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.75, 'e': 0.29134617346724245}",20,13,0.16695067187379053,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.75, 'e': 0.2898951403462039}",30,22,17.283317447639348,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.75, 'e': 0.2884513340134677}",20,15,2.8156645747494853,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
